Region,Country,CountryID,Industry,Edition,Category,ParentID,Subcategory,ProductID,Lowest Level,Modelled,Hierarchy Level,Data Type,DataTypeID,Unit,Unit Multiplier,Current/Constant,Currency Conversion,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Asia Pacific,Indonesia,263,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Retail Value RSP,410,USD million,1000000,"Historic Constant 2014 Prices, Forecast Constant 2014 Prices","Historic Fixed 2014 Exchange Rates, Forecast Fixed 2014 Exchange Rates",158.9790914,176.2895085,190.2342084,203.1030953,214.985074,218.271073,214.169377,227.3705917,221.3206998,224.3530622,231.5126624,253.2558526,284.2054213,316.0191891,351.0496024,391.5789792,437.8349228,487.8673031,542.0115136,601.4060602
Asia Pacific,Japan,276,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Retail Volume,1,million litres,1000000,,Volume,753.1594566,737.1596903,719.6834533,704.8825054,748.3009916,725.8155081,714.7870814,725.6968143,738.3458085,730.6956824,760.7537025,747.1662841,762.0862653,780.6224484,788.3693335,793.5834664,797.6378371,800.6839817,803.229852,805.6322385
Asia Pacific,Japan,276,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Retail Volume (Tonnes),911,000 tonnes,1000,,Volume,561.0511489,549.0260332,535.8398023,524.6122046,556.674247,540.3253001,532.0517936,539.0854479,547.2972885,541.5682283,564.5867256,556.6503386,567.4183968,580.9497114,586.517873,590.2655965,593.2246097,595.4209357,597.2631497,599.034448
Asia Pacific,Japan,276,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Total Volume,3,million litres,1000000,,Volume,911.8544566,892.4796903,884.1024533,865.6622854,916.7506616,890.5527071,876.5110597,885.4880751,894.8665325,883.7725833,911.0285372,892.750525,906.0611991,923.321747,930.0798977,934.4677395,937.8454278,940.3651904,942.6231335,944.8503515
Asia Pacific,Japan,276,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Total Volume (Tonnes),913,000 tonnes,1000,,Volume,719.7461489,704.3460332,700.2588023,685.3919846,725.123917,705.0624992,693.7757718,698.8767086,703.8180125,694.6451292,714.8615603,702.2345795,711.3933305,723.64901,728.2284372,731.1498697,733.4322004,735.1021444,736.6564311,738.252561
Asia Pacific,Japan,276,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Retail Value RSP,410,USD million,1000000,"Historic Constant 2014 Prices, Forecast Constant 2014 Prices","Historic Fixed 2014 Exchange Rates, Forecast Fixed 2014 Exchange Rates",4856.384206,4740.639785,4635.163316,4520.554064,4878.912644,4846.94702,4841.751075,5005.408449,5225.762143,5207.199368,5442.660651,5441.094277,5552.782946,5727.818054,5804.042536,5889.242726,5956.158684,6008.481322,6053.865154,6096.725364
Asia Pacific,Kazakhstan,279,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Retail Volume,1,million litres,1000000,,Volume,,,,,37.36588913,37.59381573,37.71019205,37.87695575,38.08084683,35.98529251,37.72750989,38.83239781,39.86599548,36.08528711,35.04461167,35.16002609,35.87382959,36.95964253,38.20386286,39.61453293
Asia Pacific,Kazakhstan,279,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Retail Volume (Tonnes),911,000 tonnes,1000,,Volume,25.91665798,26.05946299,26.16498375,26.27173663,26.45520266,26.61917881,26.70448415,26.8208075,26.96965925,25.43216971,26.66403664,27.45512478,28.19496608,25.52077126,24.79957481,24.88917966,25.39883061,26.17000965,27.05267336,28.05159977
Asia Pacific,Kazakhstan,279,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Total Volume,3,million litres,1000000,,Volume,38.36367177,38.64839724,38.88084345,39.0609959,39.34939312,39.61302279,39.75362959,39.9530883,40.19434976,38.13578175,39.92122396,41.08446467,42.17076071,38.16728711,37.17033367,37.32968174,38.07364346,39.1913537,40.46235456,41.89967484
Asia Pacific,Kazakhstan,279,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Total Volume (Tonnes),913,000 tonnes,1000,,Volume,27.61306028,27.85934583,28.0584605,28.21444378,28.43870665,28.63838588,28.7479217,28.89694005,29.08316219,27.58265894,28.85775071,29.70719165,30.49973131,27.60277126,26.92529681,27.05883532,27.59864448,28.40172082,29.31116507,30.33674167
Asia Pacific,Kazakhstan,279,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Retail Value RSP,410,USD million,1000000,"Historic Constant 2014 Prices, Forecast Constant 2014 Prices","Historic Fixed 2014 Exchange Rates, Forecast Fixed 2014 Exchange Rates",,,,,239.866287,242.5111848,246.3105957,244.5105135,228.8604292,236.3238914,250.1820155,262.4714416,280.9330332,264.4091985,307.4409884,306.3688612,313.8962512,326.2801404,339.9091845,354.9486751
Asia Pacific,Malaysia,314,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Retail Volume,1,million litres,1000000,,Volume,34.53197,35.3288692,35.96878399,36.65368647,37.50559163,38.74190746,39.82667311,40.74412125,41.88131195,42.96743758,44.92170398,46.876998,48.97760861,50.73442012,52.43597475,54.11067712,55.87948566,57.73204318,59.62377353,61.54502891
